m_size,language,algorithm,time,l1_cm,l2_cm
600,cpp,1,0.525,244581704.000,40694395.000
600,cpp,2,0.249,27214793.000,54372688.000
600,python,1,0.913,257504188.000,71915264.000
600,python,2,0.734,29364345.000,61824829.000
1000,cpp,1,2.719,1231823070.000,283382640.000
1000,cpp,2,1.130,126675246.000,254898763.000
1000,python,1,4.241,1255610345.000,397097415.000
1000,python,2,3.249,134432452.000,285008532.000
1400,cpp,1,6.140,3419105016.000,1463747360.000
1400,cpp,2,2.790,356849773.000,708400508.000
1400,python,1,11.408,3608548206.000,2406767475.000
1400,python,2,8.730,382542757.000,782054195.000
1800,cpp,1,26.622,9077094525.000,8662077361.000
1800,cpp,2,5.677,801007715.000,1516342415.000
1800,python,1,31.596,9207307285.000,10260652969.000
1800,python,2,18.373,934117305.000,1668240248.000
2200,cpp,1,56.874,17673048585.000,24660079947.000
2200,cpp,2,9.741,2093665773.000,2753564943.000
2200,python,1,64.104,17870913983.000,27656919028.000
2200,python,2,33.259,2444938617.000,2998500057.000
2600,cpp,1,101.166,30923503273.000,53426704853.000
2600,cpp,2,16.959,4394975783.000,4540272322.000
2600,python,1,123.325,31273585229.000,60390524199.000
2600,python,2,58.014,4548071136.000,4982887877.000
3000,cpp,1,177.506,50322317904.000,95327587565.000
3000,cpp,2,25.464,6761206795.000,7013028908.000
3000,python,1,192.114,50737968849.000,107063489327.000
3000,python,2,87.352,6968592376.000,7590346896.000
