m_size,language,algorithm,block_size,time,l1_cm,l2_cm
2048,cpp,3,128,8.268,1210657433.200,3561785366.600
2048,cpp,3,256,10.060,1138808337.200,2746049464.600
2048,cpp,3,512,9.188,1100042666.800,2354407423.600
4096,cpp,3,128,75.963,9701155510.400,28706722824.800
4096,cpp,3,256,73.251,9103359793.400,21661212215.000
4096,cpp,3,512,64.042,8800323207.800,19020148908.400
6144,cpp,3,128,251.904,32652481295.200,99721278817.200
6144,cpp,3,256,214.580,30625850659.600,73699266134.000
6144,cpp,3,512,212.902,29717235634.000,64401110167.200
8192,cpp,3,128,579.829,77361525607.000,239594058425.000
8192,cpp,3,256,473.076,72505667682.600,174869357755.000
8192,cpp,3,512,508.298,70310751956.200,151471586669.200
10240,cpp,3,128,1107.568,151079592655.200,471613717268.800
10240,cpp,3,256,1164.854,142192784917.800,338709926750.400
10240,cpp,3,512,1151.230,137801784398.000,298671974154.400
